ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"202.4.107.70","5678","elite","AS23956","BD","dhakaCom Limited","155","DhakaCom Limited","socks4","4600","2","2023-10-15T17:53:35.484Z","99","4214","4274"
"54.38.72.186","16838","elite","AS16276","GB","OVH SAS","89","OVH Ltd","socks4","4195","2","2023-10-15T18:09:52.641Z","96","4179","4354"
"109.127.82.114","5678","elite","AS21277","IQ","Newroz Telecom","79","N/A","socks4","1394","2","2023-10-15T17:35:03.739Z","99","4369","4407"
"1.15.172.214","7890","elite","AS45090","CN","Tencent Cloud Computing (Beijing) Co. Ltd.","208","Tencent Cloud Computing (Beijing) Co. Ltd.","socks4","4792","2","2023-10-15T17:32:39.685Z","46","1990","4295"
"149.20.253.77","12551","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","socks4","4314","2","2023-10-15T17:51:07.543Z","100","4268","4278"
"195.138.65.34","5678","elite","AS6876","UA","TENET Scientific Production Enterprise LLC","103","Tenet","socks4","4892","2","2023-10-15T18:37:09.148Z","98","4216","4306"
"14.102.61.138","59341","elite","AS133647","IN","WORLDPHONE","192","N/A","socks4","5296","2","2023-10-15T18:47:21.079Z","97","4175","4323"
"104.25.87.42","80","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","socks4","4291","2","2023-10-15T17:59:12.435Z","100","4308","4308"
"185.25.119.57","7497","elite","AS200000","UA","Hosting Ukraine LTD","42","new Hosting","socks5","4908","2","2023-10-15T17:41:03.038Z","100","4327","4330"
"183.88.74.73","4153","elite","AS45629","TH","Triple T Broadband Public Company Limited","202","Triple T Broadband Public Company Limited","socks4","4995","2","2023-10-15T18:27:24.854Z","88","3814","4313"
"138.94.92.26","7497","elite","AS264145","BR","FACILNET PROVEDOR E SERVIÇOS EIRELI","191","FACILNET PROVEDOR E SERVIÇOS EIRELI","socks5","5106","2","2023-10-15T17:16:36.379Z","98","4246","4344"
"45.196.150.222","5432","elite","AS7018","US","AT&T Services, Inc.","87","AQUA Networks Limited","socks4","4887","2","2023-10-15T18:42:34.644Z","98","4260","4345"
"51.68.87.157","49320","elite","AS16276","FR","OVH SAS","8","OVH","socks4","4306","2","2023-10-15T17:26:58.780Z","100","4351","4351"
"62.171.137.122","61568","elite","AS51167","DE","Contabo GmbH","95","Contabo GmbH","socks5","5191","2","2023-10-15T18:44:24.755Z","100","4338","4343"
"92.115.247.61","42646","elite","AS8926","MD","JSC MOLDTELECOM SA","88","JSC Moldtelecom S.A.","socks4","4812","2","2023-10-15T18:44:00.181Z","93","4009","4305"
"79.125.195.102","5678","elite","AS6821","MK","MAKTEL","82","N/A","socks4","4409","2","2023-10-15T18:32:20.033Z","82","3534","4311"
"187.85.154.18","5678","elite","AS53062","BR","Ggnet Telecom Backbone","288","Ggnet Telecom Backbone","socks4","3910","2","2023-10-15T17:16:37.552Z","99","4215","4239"
"113.231.150.20","1080","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","193","N/A","socks4","4194","2","2023-10-15T17:20:07.453Z","66","2879","4330"
"114.99.12.65","8004","elite","AS4134","CN","Chinanet","216","Chinanet AH","socks4","4901","2","2023-10-15T16:49:06.275Z","51","2226","4367"
"49.75.66.137","7890","elite","AS4134","CN","Chinanet","213","Chinanet JS","socks5","4895","2","2023-10-15T18:42:06.848Z","25","1093","4304"
"192.12.112.70","4145","elite","AS61942","BR","Turbonet Telecom Ltda","182","Turbonet Telecom Ltda","socks4","4698","2","2023-10-15T17:44:13.441Z","99","4267","4315"
"79.127.127.7","1369","elite","AS43754","IR","Asiatech Data Transmission company","86","Asiatech Data Transmission company","socks4","5000","2","2023-10-15T17:39:08.041Z","92","4067","4398"
"45.8.107.79","80","elite","AS209242","DE","Cloudflare London, LLC","12","Araxio Development N.V","socks4","4801","2","2023-10-15T18:45:42.550Z","100","4335","4336"
"54.38.81.12","46553","elite","AS16276","FR","OVH SAS","6","OVH","socks4","4400","2","2023-10-15T18:32:47.447Z","55","2402","4339"
"202.136.215.29","808","elite","AS17621","CN","China Unicom Shanghai network","287","Shanghai DMT Information Network cor., LTD.","socks4","379","2","2023-10-15T18:39:45.793Z","61","2684","4365"
