"mark","model","mileage","transmission","registration","fuel","power","location","price"
Mercedes-Benz,A 35 AMG,"23274",Automatic,"09/2020",Gasoline,"306",DE,39850
BMW,X5 M,"169000",Automatic,"09/2015",Diesel,"381",BE,35999
Mercedes-Benz,CLA 200,"10756",Automatic,"05/2021",Gasoline,"163",BE,36950
Jaguar,XK,"161745",Automatic,"07/2006",Gasoline,"298",IT,16900
Audi,TT,"59000",Automatic,"07/2019",Gasoline,"245",IT,37490
Kia,Stinger,"77732",Automatic,"06/2020",Gasoline,"366",DE,30979
Volkswagen,Golf,"19073",Automatic,"07/2020",Gasoline,"150",BE,23999
Mercedes-Benz,GLS 63 AMG,"79089",Automatic,"06/2021",Gasoline,"612",DE,134555
Mercedes-Benz,V 220,"161000",Automatic,"08/2015",Diesel,"163",DE,37950
Mercedes-Benz,A 180,"75000",Automatic,"04/2020",Gasoline,"136",BE,29990
Volkswagen,T-Roc,"108986",Manual,"07/2018",Gasoline,"116",BE,14499
Volkswagen,Passat Variant,"187803",Manual,"06/2008",Diesel,"170",DE,6499
BMW,i4,"15800",Automatic,"01/2022",Electric,"544",BE,74899
Mercedes-Benz,C 43 AMG,"29998",Automatic,"04/2022",Gasoline,"367",DE,57798
Mercedes-Benz,CLS 300,"39600",Automatic,"03/2019",Diesel,"245",DE,47779
Volkswagen,T6.1 California,"9800",Automatic,"07/2020",Diesel,"199",DE,77900
Mercedes-Benz,EQE 300,"6536",Automatic,"02/2023",Electric,"245",DE,58985
Audi,Q5,"56198",Automatic,"08/2018",Gasoline,"252",DE,28890
Land-Rover,Range Rover Velar,"48537",Automatic,"04/2019",Gasoline,"250",BE,49900
Nissan,Qashqai,"148809",Manual,"06/2014",Diesel,"131",DE,11490
Ferrari,Portofino,"13700",Automatic,"01/2020",Gasoline,"600",DE,208000
Mercedes-Benz,E 53 AMG,"26415",Automatic,"11/2022",Gasoline,"435",DE,69900
Audi,A3,"102500",Automatic,"01/2012",Diesel,"105",BE,11499
Mercedes-Benz,C 300,"105806",Automatic,"11/2019",Diesel,"245",DE,31999
Mercedes-Benz,Sprinter,"543634",Manual,"12/2018",Diesel,"163",DE,19950
Mercedes-Benz,C 43 AMG,"26695",Automatic,"10/2020",Gasoline,"390",DE,56990
Maybach,,"45",Automatic,,Gasoline,"469",DE,258800
BMW,Z4,"8715",Automatic,"06/2022",Gasoline,"258",BE,53995
Mercedes-Benz,C 220,"86338",Automatic,"01/2019",Diesel,"194",DE,32380
BMW,M5,"69700",Automatic,"05/2019",Gasoline,"625",DE,71800
Cupra,Leon,"22000",Automatic,"09/2021",Electric,"245",DE,24780
Mercedes-Benz,GLC 200,"37246",Automatic,"10/2019",Gasoline,"197",DE,39880
